Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/10/2022 16:30,TD Garden,Boston Celtics,Philadelphia 76ers,126 - 117
2,1,18/10/2022 19:00,Chase Center,Golden State Warriors,Los Angeles Lakers,123 - 109
3,1,19/10/2022 16:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,113 - 109
4,1,19/10/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,107 - 114
5,1,19/10/2022 16:30,State Farm Arena,Atlanta Hawks,Houston Rockets,117 - 107
6,1,19/10/2022 16:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,108 - 130
7,1,19/10/2022 16:30,FTX Arena,Miami Heat,Chicago Bulls,108 - 116
8,1,19/10/2022 16:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,108 - 105
9,1,19/10/2022 16:30,FedExForum,Memphis Grizzlies,New York Knicks,115 - 112
10,1,19/10/2022 17:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,115 - 108
11,1,19/10/2022 17:00,AT&T Center,San Antonio Spurs,Charlotte Hornets,102 - 129
12,1,19/10/2022 18:00,Vivint Arena,Utah Jazz,Denver Nuggets,123 - 102
13,1,19/10/2022 19:00,Footprint Center,Phoenix Suns,Dallas Mavericks,107 - 105
14,1,19/10/2022 19:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,108 - 115
15,1,20/10/2022 16:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,88 - 90
16,1,20/10/2022 19:00,Crypto.com Arena,Los Angeles Lakers,LA Clippers,97 - 103
17,1,21/10/2022 16:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,112 - 124
18,1,21/10/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,San Antonio Spurs,134 - 137
19,1,21/10/2022 16:00,Capital One Arena,Washington Wizards,Chicago Bulls,102 - 100
20,1,21/10/2022 16:30,State Farm Arena,Atlanta Hawks,Orlando Magic,108 - 98
21,1,21/10/2022 16:30,Barclays Center,Brooklyn Nets,Toronto Raptors,109 - 105
22,1,21/10/2022 16:30,FTX Arena,Miami Heat,Boston Celtics,104 - 111
23,1,21/10/2022 16:30,Madison Square Garden,New York Knicks,Detroit Pistons,130 - 106
24,1,21/10/2022 17:00,Toyota Center,Houston Rockets,Memphis Grizzlies,122 - 129
25,1,21/10/2022 17:00,Target Center,Minnesota Timberwolves,Utah Jazz,126 - 132
26,1,21/10/2022 19:00,Chase Center,Golden State Warriors,Denver Nuggets,123 - 128
27,1,21/10/2022 19:00,Moda Center,Portland Trail Blazers,Phoenix Suns,113 - 111
28,1,22/10/2022 15:00,Wells Fargo Center,Philadelphia 76ers,San Antonio Spurs,105 - 114
29,1,22/10/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,124 - 115
30,1,22/10/2022 16:00,Amway Center,Orlando Magic,Boston Celtics,120 - 126
31,1,22/10/2022 17:00,FTX Arena,Miami Heat,Toronto Raptors,112 - 109
32,1,22/10/2022 17:00,United Center,Chicago Bulls,Cleveland Cavaliers,96 - 128
33,1,22/10/2022 17:00,Fiserv Forum,Milwaukee Bucks,Houston Rockets,125 - 105
34,1,22/10/2022 17:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,137 - 96
35,1,22/10/2022 18:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,122 - 117
36,1,22/10/2022 19:00,Golden 1 Center,Sacramento Kings,LA Clippers,109 - 111
37,1,23/10/2022 12:30,Crypto.com Arena,Los Angeles Lakers,Portland Trail Blazers,104 - 106
38,1,23/10/2022 14:00,State Farm Arena,Atlanta Hawks,Charlotte Hornets,109 - 126
39,1,23/10/2022 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Washington Wizards,117 - 107
40,1,23/10/2022 16:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,121 - 122
41,1,23/10/2022 17:00,Paycom Center,Oklahoma City Thunder,Minnesota Timberwolves,106 - 116
42,1,23/10/2022 17:30,Chase Center,Golden State Warriors,Sacramento Kings,130 - 125
43,1,23/10/2022 19:00,Crypto.com Arena,LA Clippers,Phoenix Suns,95 - 112
44,1,24/10/2022 16:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,120 - 106
45,1,24/10/2022 16:30,FTX Arena,Miami Heat,Toronto Raptors,90 - 98
46,1,24/10/2022 16:30,Madison Square Garden,New York Knicks,Orlando Magic,115 - 102
47,1,24/10/2022 17:00,United Center,Chicago Bulls,Boston Celtics,120 - 102
48,1,24/10/2022 17:00,Toyota Center,Houston Rockets,Utah Jazz,114 - 108
49,1,24/10/2022 17:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,134 - 124
50,1,24/10/2022 17:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,106 - 115
51,1,24/10/2022 19:00,Moda Center,Portland Trail Blazers,Denver Nuggets,135 - 110
52,1,25/10/2022 16:00,Capital One Arena,Washington Wizards,Detroit Pistons,120 - 99
53,1,25/10/2022 16:30,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,113 - 111
54,1,25/10/2022 17:00,Paycom Center,Oklahoma City Thunder,LA Clippers,108 - 94
55,1,25/10/2022 19:00,Footprint Center,Phoenix Suns,Golden State Warriors,134 - 105
56,1,26/10/2022 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,103 - 92
57,1,26/10/2022 16:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,113 - 118
58,1,26/10/2022 16:30,Madison Square Garden,New York Knicks,Charlotte Hornets,134 - 131
59,1,26/10/2022 16:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,119 - 109
60,1,26/10/2022 16:30,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,110 - 99
61,1,26/10/2022 17:00,United Center,Chicago Bulls,Indiana Pacers,124 - 109
62,1,26/10/2022 17:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,134 - 122
63,1,26/10/2022 18:00,Vivint Arena,Utah Jazz,Houston Rockets,109 - 101
64,1,26/10/2022 19:00,Ball Arena,Denver Nuggets,Los Angeles Lakers,110 - 99
65,1,26/10/2022 19:00,Moda Center,Portland Trail Blazers,Miami Heat,98 - 119
66,2,27/10/2022 16:30,Barclays Center,Brooklyn Nets,Dallas Mavericks,125 - 129
67,2,27/10/2022 17:00,Paycom Center,Oklahoma City Thunder,LA Clippers,118 - 110
68,2,27/10/2022 19:00,Chase Center,Golden State Warriors,Miami Heat,123 - 110
69,2,27/10/2022 19:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,110 - 125
70,2,28/10/2022 16:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,112 - 136
71,2,28/10/2022 16:00,Amway Center,Orlando Magic,Charlotte Hornets,113 - 93
72,2,28/10/2022 16:30,TD Garden,Boston Celtics,Cleveland Cavaliers,123 - 132
